InstructorName,ProjectID,CompanyName,ProjectTitle,Confidentiality,IP,CourseTime,CourseName,PhysicalPrototype,
Choi Kyusun,0545b198-27a6-4,ARCCA Incorporated,Measurement of Perception Reaction Time (PRT) during Cycling,0,0,T R 8:00 am-9:55 am,CMPEN 482,1,
Choi Kyusun,6000c744-9094-4,FORD MOTOR COMPANY,Biometric Monitoring Prioritization,1,1,T R 8:00 am-9:55 am,CMPEN 482,1,
Choi Kyusun,2e61a1d2-79e0-4,Lippert Components Inc,Next Generation RV - Tow-able camper leveling system,1,1,T R 8:00 am-9:55 am,CMPEN 482,1,
Choi Kyusun,77ef8261-876f-4,PSU ARL 2,Firmware and Electronics Upgrades for a Directional Nozzle 3D Printer,0,0,T R 8:00 am-9:55 am,CMPEN 482,1,
Choi Kyusun,0f407669-3947-4,PSU Service Enterprise Engineering (SEE 360) 1,Occupancy Analytics Team 1,0,0,T R 8:00 am-9:55 am,CMPEN 482,1,
Choi Kyusun,f7f3892d-cfbe-4,Siemens Industry Inc.,IOT2040/LR100 Bluetooth Connectivity,1,1,T R 8:00 am-9:55 am,CMPEN 482,1,
Cubanski Dave,3f102941-d048-4,Bell Textron Inc.,Helicopter Safety Kit:  A Proximity Warning System for Alerting Ground Personnel When Approaching Conventional Open Tail Rotors in Operation,1,1,T R 8:00 am-9:55 am,E E 403W.001,1,
Cubanski Dave,ca7b8a48-3bc3-4,Exelon Corporation,Nuclear Safety System Room Cooler Performance,0,0,T R 8:00 am-9:55 am,E E 403W.001,1,
Cubanski Dave,b9eab711-8527-4,Janssen Research and Development,Patient/User Assistance Platform,1,1,T R 8:00 am-9:55 am,E E 403W.001,1,
Cubanski Dave,2e5ac81e-d455-4,Lockheed Martin Corporation 1,Electric Aircraft Conceptual Design,0,0,T R 11:15 am-1:10 pm,E E 403W.002,0,
Cubanski Dave,90745487-3ff7-4,PSU Interfacial Phenomena Laboratory (IPHEL) 2,Design of a Test Bench for Thermal Management Devices for Electronics Part 2: Circuit design and Control,0,0,T R 11:15 am-1:10 pm,E E 403W.002,1,
Cubanski Dave,0f43d8cd-db03-4,The Boeing Company 2,Electric Aircraft Conceptual Design,0,0,T R 11:15 am-1:10 pm,E E 403W.002,0,
Hylbert Lyndsey,d71210b6-be8b-4,Medtronic,Modular Septal Heart Wall and Conduction System,1,1,T R 8:00 am-9:55 am,BME 450.001,1,
Hylbert Lyndsey,ec51e970-6098-4,Monroe Satkovich,Chair for child with Cerebral Palsy,0,0,T R 8:00 am-9:55 am,BME 450.001,1,
Kimel Allen,724db9f0-e005-4,John Crane,Low temperature fracture mechanics and testing for 410 SS,1,0,T R 11:15 am-1:10 pm,MATSE 493,1,
Kimel Allen,682f2d38-86d4-4,PSU Architectural Eng Dept - Responsive and Adaptive Infrastructure Materials Research Group,Engineering Design of a Modern Electrochemical Migration Testing Device for Infrastructure and Building Materials,0,0,T R 11:15 am-1:10 pm,MATSE 493,0,
